Preset and Sample Listing for MODULA KONTROL 7-Performance.exb
Sun Jul 19 11:15:56 2026

Presets

Number  	Bank:Prog   	Name                              	Category
2465    	019:033     	syn:WeirdVox                      	Synth
2466    	019:034     	syn:SoftStuff                     	Synth
2467    	019:035     	syn:Auto Doom                     	Synth
2468    	019:036     	syn:VoxRoller                     	Synth
2469    	019:037     	syn:WapperFuzz                    	Synth
2470    	019:038     	syn:Slippery                      	Synth
2471    	019:039     	syn:Sin Symph 1                   	Synth
2472    	019:040     	syn:Synthomatic                   	Synth
2473    	019:041     	syn:ReturnToZoo                   	Synth
2474    	019:042     	syn:Grinder                       	Synth
2475    	019:043     	syn:Weeperr                       	Synth
2476    	019:044     	syn:Two Step                      	Synth
2477    	019:045     	syn:Prosync                       	Synth
2478    	019:046     	syn:Objections                    	Synth
2560    	020:000     	str:GothStrings                   	Strings
2561    	020:001     	str:Sincerely                     	Strings
2562    	020:002     	str:MadDramA \                    	Strings
2563    	020:003     	str:Harpo                         	Strings
2564    	020:004     	str:Ooops!                        	Strings
2565    	020:005     	str:Pizz Strings                  	Strings
2566    	020:006     	str:Fade It                       	Strings
2567    	020:007     	str:FakingIt                      	Strings
2568    	020:008     	str:Section                       	Strings
2569    	020:009     	str:Pizz&Sct  MW                  	Strings
2570    	020:010     	str:Nightmare                     	Strings
2571    	020:011     	str:MistyStrng                    	Strings
2572    	020:012     	str:Ballad Harp                   	Strings
2573    	020:013     	str:Uni Strings                   	Strings
2574    	020:014     	str:Disco Diva                    	Strings
2575    	020:015     	str:Suspense                      	Strings
2576    	020:016     	str:HybridSweep                   	Strings
2577    	020:017     	str:VIRGOE                        	Strings
2578    	020:018     	str:Synth String                  	Strings
2579    	020:019     	str:Orchestsyn                    	Strings
2580    	020:020     	str:StackedLegs                   	Strings
2581    	020:021     	str:Sa-Spen Ful                   	Strings
2688    	021:000     	PERF: bas:So Lo Pro               	Performance ArpPad
2689    	021:001     	PERF:split:BeautifulOct           	Performance ArpPad
2690    	021:002     	PERF:led:RhaspyClickr             	Performance Lead
2691    	021:003     	PERF:syn:Round Mini               	Performance Lead
2692    	021:004     	PERF:syn:Synth Stack              	Performance Lead
2693    	021:005     	PERF:bpm:System 55                	Performance BPM
2694    	021:006     	PERF:syn:TouchRez                 	Performance Lead
2695    	021:007     	PERF:wnd:Flute Sect               	Performance Pad
2696    	021:008     	PERF:led:Pulse                    	Performance Lead
2697    	021:009     	PERF:pad:skyline flute duo        	Performance Pad
2698    	021:010     	PERF:syn:AnalogBell               	Performance Lead
2699    	021:011     	PERF:sfx:The Garden               	Performance Drone
2700    	021:012     	PERF:arp:syn:JunoOctSpl           	Performance Arp
2701    	021:013     	PERF:gtr:HarmonicTone             	Performance Lead
2702    	021:014     	PERF:str:Ballad Harp              	Performance Lead
2703    	021:015     	PERF:wal:ByzantineNze             	Performance Drone
2704    	021:016     	PERF:pad:Luxury                   	Performance Pad
2705    	021:017     	PERF:syn:Profit/Loss              	Performance Lead
2706    	021:018     	PERF:led:SineWorm                 	Performance Lead
2707    	021:019     	PERF:syn:P5 Sync 1                	Performance Synthesizer
2816    	022:000     	vox:Tron Males                    	Vocal
2817    	022:001     	vox:BigTronChoir                  	Vocal
2818    	022:002     	vox:Chiffer                       	Vocal
2819    	022:003     	vox:Light Aahs                    	Vocal
2820    	022:004     	vox:Moon Flute                    	Vocal
2821    	022:005     	vox:BreathBlow 2                  	Vocal
2822    	022:006     	vox:VS Ghost                      	Vocal
2823    	022:007     	vox:TalkBox Pro                   	Vocal
2824    	022:008     	vox:ThroatEnergy                  	Vocal
2825    	022:009     	vox:TronMalesSt                   	Vocal
2826    	022:010     	vox:TronMixSt                     	Vocal
2827    	022:011     	vox:SnowBound                     	Vocal

Samples

Number  	Sample Rate   	Size          	Name                              	Category
001     	32010 Hz      	46,058 bytes  	EP4MKIIL A0                       	
002     	31974 Hz      	38,152 bytes  	EP4MKIIL E1                       	
003     	31980 Hz      	41,222 bytes  	EP4MKIIL B1                       	
004     	31980 Hz      	30,158 bytes  	EP4MKIIL G#2                      	
005     	32154 Hz      	37,676 bytes  	EP4MKIIL C#3                      	
006     	32191 Hz      	24,088 bytes  	EP4MKIIL F#3                      	
007     	32167 Hz      	28,342 bytes  	EP4MKIIL A#3                      	
008     	32305 Hz      	26,186 bytes  	EP4MKIIL E4                       	
009     	32144 Hz      	17,954 bytes  	EP4MKIIL G4                       	
010     	32891 Hz      	19,584 bytes  	EP4MKIIL D5                       	
011     	31361 Hz      	12,966 bytes  	EP4MKIIL G5                       	
012     	31395 Hz      	13,700 bytes  	EP4MKIIL C6                       	
013     	32004 Hz      	44,766 bytes  	EP4MKIIM F#0                      	
014     	31985 Hz      	39,426 bytes  	EP4MKIIM C1                       	
015     	31974 Hz      	39,722 bytes  	EP4MKIIM E1                       	
016     	32046 Hz      	38,198 bytes  	EP4MKIIM G1                       	
017     	32015 Hz      	34,882 bytes  	EP4MKIIM C#2                      	
018     	31996 Hz      	26,234 bytes  	EP4MKIIM F2                       	
019     	32120 Hz      	30,738 bytes  	EP4MKIIM A2                       	
020     	32047 Hz      	25,358 bytes  	EP4MKIIM D#3                      	
021     	32130 Hz      	21,856 bytes  	EP4MKIIM F3                       	
022     	32167 Hz      	21,882 bytes  	EP4MKIIM A#3                      	
023     	32130 Hz      	11,238 bytes  	EP4MKIIM F4                       	
024     	31610 Hz      	11,638 bytes  	EP4MKIIM B4                       	
025     	32358 Hz      	6,704 bytes   	EP4MKIIM D#5                      	
026     	31646 Hz      	8,274 bytes   	EP4MKIIM E5                       	
027     	47519 Hz      	8,414 bytes   	EP4MKIIM A5                       	
028     	31395 Hz      	7,380 bytes   	EP4MKIIM C6                       	
029     	31045 Hz      	9,012 bytes   	EP4MKIIM C#6                      	
030     	32144 Hz      	22,008 bytes  	EP4MKIIM G3                       	
031     	32015 Hz      	73,528 bytes  	EP4MKIIM E0                       	
032     	31998 Hz      	65,180 bytes  	EP3MKIIM G0                       	
033     	31985 Hz      	61,016 bytes  	EP3MKIIM C1                       	
034     	32042 Hz      	42,066 bytes  	EP3MKIIM F1                       	
035     	32010 Hz      	48,240 bytes  	EP4MKIIM A1                       	
036     	31974 Hz      	45,480 bytes  	EP4MKIIM E2                       	
037     	32104 Hz      	28,546 bytes  	EP3MKIIM B2                       	
038     	32010 Hz      	45,006 bytes  	EP4MKIIM D3                       	
039     	31980 Hz      	30,232 bytes  	EP4MKIIM G#3                      	
040     	32154 Hz      	38,972 bytes  	EP4MKIIM C#4                      	
041     	32395 Hz      	24,186 bytes  	EP4MKIIM G#4                      	
042     	32154 Hz      	17,738 bytes  	EP4MKIIH C#5                      	
043     	32358 Hz      	7,156 bytes   	EP2MKIIH D#5                      	
044     	31080 Hz      	6,260 bytes   	EP2MKIIH F#5                      	
045     	31610 Hz      	3,224 bytes   	EP2MKIIH B5                       	
046     	32015 Hz      	60,440 bytes  	EP3MKIIM E0                       	
047     	32010 Hz      	59,530 bytes  	EP2MKIIH A0                       	
048     	31969 Hz      	47,064 bytes  	EP2MKIIH D#1                      	
049     	31980 Hz      	37,458 bytes  	EP2MKIIH G#1                      	
050     	32015 Hz      	32,838 bytes  	EP2MKIIH C#2                      	
051     	32144 Hz      	31,384 bytes  	EP2MKIIH G2                       	
052     	31980 Hz      	23,214 bytes  	EP2MKIIH G#2                      	
053     	31919 Hz      	16,558 bytes  	EP2MKIIH C3                       	
054     	31974 Hz      	21,792 bytes  	EP2MKIIH E3                       	
055     	32144 Hz      	24,790 bytes  	EP2MKIIH G3                       	
056     	32167 Hz      	16,384 bytes  	EP2MKIIH A#3                      	
057     	32305 Hz      	14,062 bytes  	EP2MKIIH E4                       	
058     	32144 Hz      	13,506 bytes  	EP2MKIIH G4                       	
059     	31646 Hz      	12,008 bytes  	EP4MKII24HE5.AIF                  	
060     	32561 Hz      	8,276 bytes   	EP3MKII24HF#5.AI                  	
061     	31701 Hz      	7,934 bytes   	EP2MKIIH A#5                      	
062     	31045 Hz      	5,270 bytes   	EP2MKIIH C#6                      	
063     	31610 Hz      	21,940 bytes  	EP4MKIIH B4                       	
064     	36075 Hz      	79,090 bytes  	EP4MKII24HF#0.AI                  	
065     	36026 Hz      	83,792 bytes  	EP4MKII24HA0.AIF                  	
066     	35975 Hz      	68,072 bytes  	EP4MKII24HC1.AIF                  	
067     	36014 Hz      	58,528 bytes  	EP4MKII24HD#1.AI                  	
068     	36058 Hz      	69,772 bytes  	EP4MKII24HF1.AIF                  	
069     	36013 Hz      	57,290 bytes  	EP4MKII24HA#1.AI                  	
070     	36096 Hz      	44,350 bytes  	EP4MKII24HE2.AIF                  	
071     	36065 Hz      	51,108 bytes  	EP4MKII24HG2.AIF                  	
072     	36106 Hz      	38,918 bytes  	EP4MKII24HC3.AIF                  	
073     	35971 Hz      	26,774 bytes  	EP4MKII24HF3.AIF                  	
074     	36065 Hz      	27,718 bytes  	EP4MKII24HG3.AIF                  	
075     	35828 Hz      	20,966 bytes  	EP4MKII24HD4.AIF                  	
076     	36065 Hz      	12,618 bytes  	EP4MKII24HG4.AIF                  	
077     	36629 Hz      	18,182 bytes  	EP4MKII24HC5.AIF                  	
078     	32358 Hz      	14,642 bytes  	EP4MKII24HD#5.AI                  	
079     	47497 Hz      	17,610 bytes  	EP4MKII 0HF5.AIF                  	
080     	48482 Hz      	8,070 bytes   	EP4MKII HA#5                      	
081     	48785 Hz      	7,796 bytes   	EP4MKII-2HC#6.AI                  	
082     	24047 Hz      	47,296 bytes  	MedC#1                            	
083     	24050 Hz      	38,810 bytes  	MedF#1                            	
084     	24077 Hz      	29,610 bytes  	MedB1                             	
085     	24113 Hz      	22,854 bytes  	MedD#2                            	
086     	24304 Hz      	18,414 bytes  	MedG2                             	
087     	24332 Hz      	16,450 bytes  	MedC3                             	
088     	24420 Hz      	14,784 bytes  	MedF#3                            	
089     	24948 Hz      	12,270 bytes  	MedC#4                            	
090     	25521 Hz      	16,078 bytes  	MedA4                             	
091     	26136 Hz      	13,258 bytes  	MedD#5                            	
092     	26401 Hz      	11,238 bytes  	MedA5                             	
093     	26055 Hz      	47,522 bytes  	HardC#1                           	
094     	26085 Hz      	37,420 bytes  	HardF#1                           	
095     	26177 Hz      	28,184 bytes  	HardB1                            	
096     	26292 Hz      	26,548 bytes  	HardD#2                           	
097     	26461 Hz      	21,040 bytes  	HardG2                            	
098     	26687 Hz      	17,746 bytes  	HardC3                            	
099     	27010 Hz      	15,624 bytes  	HardF#3                           	
100     	27719 Hz      	14,392 bytes  	HardC#4                           	
101     	28160 Hz      	12,618 bytes  	HardA4                            	
102     	28625 Hz      	11,332 bytes  	HardD#5                           	
103     	27970 Hz      	9,050 bytes   	HardA#5                           	
104     	23980 Hz      	46,846 bytes  	A0WRY -5 1L24.AI                  	
105     	23981 Hz      	34,074 bytes  	E1WURLY1L24.AIF                   	
106     	24010 Hz      	29,000 bytes  	F1WR -1 1L24.AIF                  	
107     	24008 Hz      	22,912 bytes  	A#1WURLY1L24.AIF                  	
108     	24081 Hz      	22,126 bytes  	D2WURLY1L24.AIF                   	
109     	24008 Hz      	19,962 bytes  	A#2WR -1 1L24.A                   	
110     	24063 Hz      	17,426 bytes  	E3WR -1 1L24.AIF                  	
111     	24241 Hz      	13,988 bytes  	A#3WR +3 1L24.A                   	
112     	24268 Hz      	11,196 bytes  	D#4WR -1 1L24.AI                  	
113     	24088 Hz      	9,658 bytes   	G#4WURLY1L24.AIF                  	
114     	23494 Hz      	7,834 bytes   	D5WR -2 1L24.AIF                  	
115     	23680 Hz      	4,984 bytes   	F#5WR -2 1L24.AI                  	
116     	24241 Hz      	3,952 bytes   	A#5WR -8 1L24.AI                  	
117     	48015 Hz      	74,746 bytes  	A0WR-4 1H24.AIF                   	
118     	48022 Hz      	87,320 bytes  	C#1WR-3 1M24.AI                   	
119     	47992 Hz      	70,460 bytes  	D#1WR 0 1M24.AIF                  	
120     	47969 Hz      	64,472 bytes  	G#1WR 0 1M24.AI                   	
121     	48033 Hz      	57,736 bytes  	B1WR 0 1 M24.AIF                  	
122     	48070 Hz      	50,880 bytes  	D#2WR 0 1M24.AIF                  	
123     	48019 Hz      	46,830 bytes  	G2WR-3 1M24.AIF                   	
124     	48015 Hz      	44,142 bytes  	A#2WURLY1M24.AIF                  	
125     	47962 Hz      	39,038 bytes  	E3WR 0 1M24.AIF                   	
126     	48100 Hz      	28,684 bytes  	F#3WR 0 1M24.AIF                  	
127     	48015 Hz      	21,088 bytes  	A#3WR 0 1M24.AIF                  	
128     	48160 Hz      	21,464 bytes  	D4WR 0 1M24.AIF                   	
129     	48100 Hz      	17,492 bytes  	F#4WR 0 1M24.AIF                  	
130     	48480 Hz      	10,590 bytes  	A#4WR 0 1M24.AIF                  	
131     	47676 Hz      	14,176 bytes  	C#5WR 0 1M24.AIF                  	
132     	47477 Hz      	11,894 bytes  	E5WR-2 0M24.AIF                   	
133     	48480 Hz      	7,934 bytes   	A#5WR-6 1M24.AIF                  	
134     	48139 Hz      	9,958 bytes   	C6WURLY1M24.AIF                   	
135     	48000 Hz      	65,630 bytes  	A#0WR-4 1H24.AIF                  	
136     	48000 Hz      	68,876 bytes  	C1WR-31H24.AIF                    	
137     	48000 Hz      	54,842 bytes  	D1WR 0 1H24.AIF                   	
138     	48045 Hz      	42,114 bytes  	E1WR +2 24.AIF                    	
139     	48000 Hz      	47,448 bytes  	G1WR 0 1H24.AIF                   	
140     	48000 Hz      	42,086 bytes  	A#1WR -1 1H24.AI                  	
141     	48072 Hz      	43,708 bytes  	D#2WR 0 1H24.AIF                  	
142     	47969 Hz      	37,862 bytes  	G#2WR  01H24.AIF                  	
143     	48000 Hz      	35,600 bytes  	A#2WR 0  H24.AIF                  	
144     	47955 Hz      	27,274 bytes  	C#3WR  -1 1H24.A                  	
145     	48163 Hz      	26,892 bytes  	D3WR -2 1H24.AIF                  	
146     	48128 Hz      	25,724 bytes  	E3WR  +1 1H24.AI                  	
147     	48000 Hz      	20,606 bytes  	A#3WR +7 1H24.AI                  	
148     	48139 Hz      	19,142 bytes  	C4WR +4 1H24.AIF                  	
149     	48163 Hz      	15,150 bytes  	D4WR 0 1H24.AIF                   	
150     	48100 Hz      	12,676 bytes  	F#4WURLY1H24.AIF                  	
151     	47824 Hz      	8,484 bytes   	G4WY +1  H24.AIF                  	
152     	48177 Hz      	6,428 bytes   	G#4WR 0 1H24.AIF                  	
153     	48400 Hz      	7,646 bytes   	A4WR 0 1H24.AIF                   	
154     	48482 Hz      	8,346 bytes   	A#4WR +2 1H24.AI                  	
155     	47678 Hz      	9,726 bytes   	C#5WR0 1H24.AIF                   	
156     	47468 Hz      	9,380 bytes   	E5WL -1 1H24.AIF                  	
157     	47362 Hz      	6,736 bytes   	F#5WR +1 1H24.AI                  	
158     	47522 Hz      	8,182 bytes   	A5WR -3 1H24.AIF                  	
159     	48482 Hz      	8,078 bytes   	A#5WR -4 1H24.AI                  	
160     	48139 Hz      	5,146 bytes   	C6WR +1 H24.AIF                   	
161     	24010 Hz      	282,772 bytes 	CP70MedF1                         	
162     	24000 Hz      	257,798 bytes 	CP70MedG116                       	
163     	24000 Hz      	257,030 bytes 	CP70MedC2                         	
164     	24000 Hz      	199,894 bytes 	CP70MedE2scycle                   	
165     	24000 Hz      	241,648 bytes 	CP70MedA2                         	
166     	24000 Hz      	275,690 bytes 	CP70MedD#3                        	
167     	24000 Hz      	251,878 bytes 	CP70MedF#3                        	
168     	23776 Hz      	156,774 bytes 	CP70MedA#3                        	
169     	24000 Hz      	144,640 bytes 	CP70MedC#4                        	
170     	24000 Hz      	125,382 bytes 	CP70MedA#4                        	
171     	24000 Hz      	82,476 bytes  	CP70MedD5                         	
172     	23750 Hz      	56,460 bytes  	CP70MedF5                         	
173     	24000 Hz      	111,054 bytes 	CP70MedF4                         	
174     	24000 Hz      	126,250 bytes 	CP70MedG#4                        	
175     	24000 Hz      	286,748 bytes 	CP70HardE1                        	
176     	24000 Hz      	306,722 bytes 	CP70HardA1                        	
177     	24000 Hz      	243,316 bytes 	CP70HardE2                        	
178     	24000 Hz      	233,640 bytes 	CP70HardA2                        	
179     	24000 Hz      	294,346 bytes 	CP70HardE3                        	
180     	24000 Hz      	173,756 bytes 	CP70HardB3                        	
181     	24000 Hz      	151,826 bytes 	CP70HardE4                        	
182     	24000 Hz      	129,756 bytes 	CP70HardG#416                     	
183     	24000 Hz      	109,412 bytes 	CP70HardC5                        	
184     	24000 Hz      	91,720 bytes  	CP70HardF5                        	
185     	24000 Hz      	254,408 bytes 	CP70HardD3                        	
186     	24000 Hz      	152,246 bytes 	DXEP1C216g 1 n                    	
187     	24000 Hz      	140,750 bytes 	Dx EP C3 rs01                     	
188     	28000 Hz      	166,350 bytes 	DXEP1C416 g 2 n                   	
189     	22050 Hz      	41,866 bytes  	888000000MS G1 L                  	
190     	22050 Hz      	36,796 bytes  	888000000MS Eb2L                  	
191     	22050 Hz      	35,066 bytes  	888000000MS A2 L                  	
192     	22050 Hz      	37,810 bytes  	888000000MS Gb3L                  	
193     	22050 Hz      	40,026 bytes  	888000000MS Eb4L                  	
194     	22050 Hz      	43,930 bytes  	888000000MS C5 L                  	
195     	22050 Hz      	39,144 bytes  	888000000MS Gb5L                  	
196     	22050 Hz      	15,322 bytes  	888 MixFast Eb1L                  	
197     	22050 Hz      	15,300 bytes  	888 MixFast F#1L                  	
198     	22050 Hz      	15,698 bytes  	888 MixFast A1 L                  	
199     	22050 Hz      	15,092 bytes  	888 MixFast C2 L                  	
200     	22050 Hz      	15,456 bytes  	888 MixFast Eb2L                  	
201     	22050 Hz      	15,172 bytes  	888 MixFast F#2L                  	
202     	22050 Hz      	15,068 bytes  	888 MixFast A2 L                  	
203     	22050 Hz      	15,032 bytes  	888 MixFast C3 L                  	
204     	22050 Hz      	15,442 bytes  	888 MixFast Eb3L                  	
205     	22050 Hz      	15,408 bytes  	888 MixFast F#3L                  	
206     	22050 Hz      	14,862 bytes  	888 MixFast A3 L                  	
207     	22050 Hz      	15,470 bytes  	888 MixFast C4 L                  	
208     	22050 Hz      	15,526 bytes  	888 MixFast Eb4L                  	
209     	22050 Hz      	16,146 bytes  	888 MixFast F#4L                  	
210     	22050 Hz      	15,392 bytes  	888 MixFast A4 L                  	
211     	22050 Hz      	15,428 bytes  	888 MixFast C5 L                  	
212     	22050 Hz      	15,400 bytes  	888 MixFast Eb5L                  	
213     	22050 Hz      	15,410 bytes  	888 MixFast F#5L                  	
214     	22050 Hz      	15,060 bytes  	888 MixFast A5 L                  	
215     	22050 Hz      	53,524 bytes  	8888 S V 122 A1                   	
216     	22050 Hz      	49,870 bytes  	8888 S V 122 D#2                  	
217     	22050 Hz      	53,502 bytes  	8888 S V 122 A2                   	
218     	22050 Hz      	47,098 bytes  	8888 S V 122 D#3                  	
219     	22050 Hz      	40,702 bytes  	8888 S V 122 A3                   	
220     	22050 Hz      	46,958 bytes  	8888 S V 122 D#4                  	
221     	22050 Hz      	45,516 bytes  	8888 S V 122 A4                   	
222     	22050 Hz      	44,906 bytes  	8888 S V 122 D#5                  	
223     	24000 Hz      	65,674 bytes  	AllOutSlowA#1 1                   	
224     	24000 Hz      	102,012 bytes 	AllOutSlowD#2 1                   	
225     	24000 Hz      	73,922 bytes  	AllOutSlowA2 1                    	
226     	24000 Hz      	88,030 bytes  	AllOutSlowD#3 1                   	
227     	24000 Hz      	67,240 bytes  	AllOutSlowA3 1                    	
228     	24000 Hz      	64,802 bytes  	AllOutSlowD#4 1                   	
229     	24000 Hz      	52,178 bytes  	AllOutSlowA4 1                    	
230     	24000 Hz      	71,172 bytes  	AllOutSlowC5 1                    	
231     	24000 Hz      	71,974 bytes  	AllOutSlowF#5 1                   	
232     	24000 Hz      	21,276 bytes  	AllOutFastD#1                     	
233     	24000 Hz      	20,888 bytes  	AllOutFastF#1                     	
234     	24000 Hz      	20,624 bytes  	AllOutFastA1                      	
235     	24000 Hz      	20,574 bytes  	AllOutFastC2                      	
236     	24000 Hz      	27,010 bytes  	AllOutFastD#2                     	
237     	24000 Hz      	20,876 bytes  	AllOutFastF#2                     	
238     	24000 Hz      	20,786 bytes  	AllOutFastA2                      	
239     	24000 Hz      	20,668 bytes  	AllOutFastC3                      	
240     	24000 Hz      	20,780 bytes  	AllOutFastD#3                     	
241     	24000 Hz      	20,800 bytes  	AllOutFastF#3                     	
242     	24000 Hz      	14,120 bytes  	AllOutFastA3                      	
243     	24000 Hz      	28,240 bytes  	AllOutFastC4                      	
244     	24000 Hz      	21,222 bytes  	AllOutFastD#4                     	
245     	48000 Hz      	41,406 bytes  	AllOutFastF#4                     	
246     	24000 Hz      	20,622 bytes  	AllOutFastA4                      	
247     	24000 Hz      	21,294 bytes  	AllOutFastC5                      	
248     	24000 Hz      	20,750 bytes  	AllOutFastD#5                     	
249     	24000 Hz      	20,772 bytes  	AllOutFastF#5                     	
250     	24000 Hz      	21,162 bytes  	AllOutFastA5                      	
251     	33075 Hz      	63,910 bytes  	Perc 2nd G1                       	
252     	33075 Hz      	59,788 bytes  	Perc 2nd C2                       	
253     	33075 Hz      	71,052 bytes  	Perc 2nd Gb2                      	
254     	33075 Hz      	73,364 bytes  	Perc 2nd B2                       	
255     	33075 Hz      	61,746 bytes  	Perc 2nd E3                       	
256     	33075 Hz      	58,498 bytes  	Perc 2nd Bb3                      	
257     	33075 Hz      	68,372 bytes  	Perc 2nd F4                       	
258     	33075 Hz      	77,336 bytes  	Perc 2nd Bb4                      	
259     	33075 Hz      	56,912 bytes  	Perc 2nd G5                       	
260     	33075 Hz      	56,362 bytes  	Perc 2nd Bb5                      	
261     	20047 Hz      	3,606 bytes   	Farfisa EvensA#2                  	
262     	27000 Hz      	9,580 bytes   	Vox3C2                            	
263     	27000 Hz      	9,730 bytes   	Vox3G2                            	
264     	27778 Hz      	10,068 bytes  	Vox3C3                            	
265     	27777 Hz      	10,010 bytes  	Vox3G3                            	
266     	27777 Hz      	10,068 bytes  	Vox3C4                            	
267     	27777 Hz      	10,088 bytes  	Vox3G4                            	
268     	27777 Hz      	10,012 bytes  	Vox3C5                            	
269     	27994 Hz      	89,472 bytes  	Clav2C1M16NRN.ai                  	
270     	23951 Hz      	90,978 bytes  	Clav2G1M16NRN.ai                  	
271     	27018 Hz      	79,958 bytes  	Clav2D2-2M16NRN.                  	
272     	29989 Hz      	53,486 bytes  	Clav2G2M16NRN.ai                  	
273     	24082 Hz      	97,956 bytes  	Clav2D3-2M16NRN.                  	
274     	24099 Hz      	95,958 bytes  	Clav2F3-3M16NRN.                  	
275     	23738 Hz      	86,508 bytes  	Clav2E4-2M16NRN.                  	
276     	29798 Hz      	52,016 bytes  	Clav2G4M16NRN.ai                  	
277     	27970 Hz      	69,050 bytes  	CLAV4 M A#0                       	
278     	27970 Hz      	50,656 bytes  	CLAV4 M A#3                       	
279     	28050 Hz      	53,102 bytes  	CLAV4 M A1                        	
280     	27970 Hz      	56,606 bytes  	CLAV4 M A#2                       	
281     	28273 Hz      	61,926 bytes  	CLAV4 M C#4                       	
282     	27995 Hz      	43,888 bytes  	CLAV4 M C2                        	
283     	28002 Hz      	54,540 bytes  	CLAV4 M D#2                       	
284     	28002 Hz      	43,552 bytes  	CLAV4 M D#4                       	
285     	27972 Hz      	64,442 bytes  	CLAV4 M D1                        	
286     	27899 Hz      	51,082 bytes  	CLAV4 M D3                        	
287     	28026 Hz      	59,520 bytes  	CLAV4 M F1                        	
288     	27935 Hz      	48,480 bytes  	CLAV4 M F#2                       	
289     	28120 Hz      	45,204 bytes  	CLAV4 M F#3                       	
290     	24000 Hz      	102,456 bytes 	OBX VH W F#2 4                    	
291     	24000 Hz      	76,048 bytes  	OBX VH W F#3 2                    	
292     	24000 Hz      	45,978 bytes  	OBX PWM 1 C5                      	
293     	24000 Hz      	141,114 bytes 	OBX SawPWM C2 2                   	
294     	36000 Hz      	108,720 bytes 	OBX SawPWM C3                     	
295     	36000 Hz      	80,060 bytes  	OBX SawPWM F#4 2                  	
296     	36000 Hz      	178,622 bytes 	OBX PlsSyncU C2                   	
297     	36000 Hz      	164,746 bytes 	OBX PlsSyncU C3                   	
298     	24000 Hz      	108,880 bytes 	OBX PlsSyncU C4                   	
299     	24000 Hz      	21,398 bytes  	OB Klav C1                        	
300     	24000 Hz      	18,996 bytes  	OB Klav C2                        	
301     	36000 Hz      	23,694 bytes  	OB Klav C3                        	
302     	48000 Hz      	30,478 bytes  	OB Klav C5                        	
303     	36000 Hz      	21,462 bytes  	OB Klav F#3                       	
304     	36000 Hz      	22,500 bytes  	OB Klav C4                        	
305     	24000 Hz      	15,132 bytes  	OB EP C1                          	
306     	48000 Hz      	18,532 bytes  	OB EP F#1                         	
307     	24000 Hz      	15,134 bytes  	OP EP C2                          	
308     	24000 Hz      	19,016 bytes  	OB EP F#2                         	
309     	24000 Hz      	18,832 bytes  	OB EP C3                          	
310     	24000 Hz      	7,548 bytes   	OB EP F#3                         	
311     	24000 Hz      	15,682 bytes  	OB EP C4                          	
312     	24000 Hz      	16,676 bytes  	OB EP F#4                         	
313     	24000 Hz      	21,352 bytes  	OB EP C5                          	
314     	36000 Hz      	115,746 bytes 	R/S SawFuzz G#2                   	
315     	24000 Hz      	92,278 bytes  	R/S SawFuzz D#3                   	
316     	24000 Hz      	91,388 bytes  	R/S SawFuzz A#3                   	
317     	24000 Hz      	71,378 bytes  	R/S SawFuzz E4 i                  	
318     	24000 Hz      	95,050 bytes  	R/S SawFuzz B4 2                  	
319     	36000 Hz      	94,890 bytes  	SEM Saws G0                       	
320     	36000 Hz      	89,348 bytes  	SEM Saws D1                       	
321     	36000 Hz      	91,502 bytes  	SEM Saws A1                       	
322     	36000 Hz      	98,102 bytes  	SEM Saws E2                       	
323     	36000 Hz      	100,324 bytes 	SEM Saws B2                       	
324     	36000 Hz      	68,598 bytes  	SEM Saws F#3                      	
325     	36000 Hz      	66,990 bytes  	SEM Saws C#4                      	
326     	36000 Hz      	135,816 bytes 	Rogue 2 Saws C2                   	
327     	24000 Hz      	79,798 bytes  	Rogue 2 Saws F#2                  	
328     	24000 Hz      	65,986 bytes  	Rogue 2 Saws C3                   	
329     	36000 Hz      	139,364 bytes 	Mini Saws F#1                     	
330     	36000 Hz      	89,532 bytes  	Mini Saws F#2                     	
331     	36000 Hz      	103,464 bytes 	Mini Saws F#3                     	
332     	36000 Hz      	124,782 bytes 	Mini Saws F#4                     	
333     	36000 Hz      	137,014 bytes 	JP8 Brass mm C 3                  	
334     	32000 Hz      	108,786 bytes 	JP8 Brass mm C 4                  	
335     	36000 Hz      	54,784 bytes  	JP8 Brass mm C 5                  	
336     	23800 Hz      	68,720 bytes  	SuperJunoE216                     	
337     	23800 Hz      	67,830 bytes  	SuperJunoE316                     	
338     	23800 Hz      	67,810 bytes  	SuperJunoE416                     	
339     	11908 Hz      	66,410 bytes  	AngryJunoE316                     	
340     	11908 Hz      	70,098 bytes  	AngryJunoA#316                    	
341     	11908 Hz      	63,204 bytes  	AngryJunoE416                     	
342     	20000 Hz      	21,110 bytes  	P5 Piper C3                       	
343     	20000 Hz      	5,286 bytes   	P5 Piper C5                       	
344     	25000 Hz      	76,980 bytes  	NewSyncC3                         	
345     	25000 Hz      	76,940 bytes  	NewSyncF#3                        	
346     	26000 Hz      	79,970 bytes  	NewSyncC4                         	
347     	26000 Hz      	80,178 bytes  	NewSyncF#4                        	
348     	48204 Hz      	3,024 bytes   	ArpSawC0                          	
349     	48186 Hz      	2,560 bytes   	ArpSawD#0                         	
350     	48144 Hz      	2,200 bytes   	ArpSawF#0                         	
351     	48070 Hz      	1,810 bytes   	ArpSawA0                          	
352     	48075 Hz      	1,546 bytes   	ArpSawC1                          	
353     	47992 Hz      	1,274 bytes   	ArpSawD#1                         	
